year,yield
1989,-0.3552236735963613
1990,9.290675679717515
1991,68.91306330554565
1992,15.42806976561537
1993,20.208380251669688
1994,2.4820008527828756
1995,1919.981151104353
1996,3.581839881900276
1997,329.6938750051265
1998,27.863695627184693
1999,-0.14363643407773202
2000,9.599988280109079
2001,159.51195874431696
2002,0.2450914126757655
2003,-0.25859973369734357
2004,-0.23677221986176622
2005,656.3724121238463
2006,18.6324134788571
2007,20.200739641251047
2008,576.2821943001618
2009,0.7367438276095373
2010,153.76550917943
